exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398288462Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398298171Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398307860Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398317495Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398327172Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398336812Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398346440Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398356046Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398365708Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398375338Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398384954Z
